id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
3629,,"Pepper Fajans, Ruben Bansie-Snellman, Luke Cook",James Bolton,James Bolton,,James Bolton,en,80,5.58
3630,"Drama, Romance","Shotaro Mamiya, Erika Sawajiri, Kyoko Koizumi, Kyoka Suzuki, Alice Hirose, Mitsu Dan, Atsuko Maeda, Yu Yamada, Charlotte Kate Fox",Jirō Shōno,Tomomi Tsutsui,Toei Company,,ja,111,7.4
3631,"Comedy, Horror, Science Fiction","Joe Burrow, Peter Armstrong, Deryck Barnes, Edward Howell, Terry Camilleri, John Meillon, Bruce Spence, Kevin Golsby, Danny Adcock, Kevin Miles, Chris Haywood, Melissa Jaffer, Max Phipps, Rick Scully, Max Gillies",Peter Weir,"Keith Gow, Peter Weir, Piers Davies","Royce Smeal Film Productions, Salt-Pan","Jim McElroy, Hal McElroy",en,87,5.5
3632,"Science Fiction, Drama, Action","Eka Nusa Pertiwi, Sri Awalia, Suwarno, Kedung Darma Romansha, Heru Sambawa, Brilliana Desy Dwinawati, Supra Widiati, Rukman Rosadi, Yusron Fuadi, Sonny Wibisono, Panut Mulyono, Guh S Mana",Yusron Fuadi,Yusron Fuadi,Aksacara Film,"Anindita Suryarasmi, Sigit Priyanta, Eddy O.S. Hiariej, Munandar Aji Wibowo, Wikan Sakarinto, Yusron Fuadi",id,116,4.9
3633,"Horror, Science Fiction","Dudley Dickerson, Richard Crane, Bruce Bennett, Ken Kane, Frieda Inescort, Ruby Goodwin, George Macready, Hal K. Dawson, John Frederick, Bill Bradley, Lee Warren, Vince Townsend Jr., Douglas Kennedy, Beverly Garland, Lon Chaney Jr., Boyd Stockman",Roy Del Ruth,"Charles O'Neal, Orville H. Hampton",Associated Producers (API),Jack Leewood,en,74,5.649
3634,"Drama, History",,,,"DreamWorks Pictures, Marc Platt Productions",,en,130,7.713
3635,"Thriller, TV Movie, Mystery","Karynn Moore, Louis Robert Thompson, Michael Aaron Milligan, Ann Sonneville, Willie Mellina, Jason Skeen, Sarab Kamoo, Austin Highsmith Garces, Judah Abner Paul",Amy S. Weber,Julian Broudy,"Almost Never Films, MarVista Entertainment","Danny Roth, Hannah Pillemer, Fernando Szew, Michael Moran, John Mehrer",en,84,7.2
3636,"Romance, Music","Jussi Björling, Allan Edwall, Dagmar Olsson, Rune Halvarsson, Sune Waldimir, Karl-Arne Holmsten, Karin Miller, Sven Lindberg, Ulla Sjöblom, Stig Järrel, Olof Thunberg, Sigge Fürst, Nils Hallberg, Anders Henrikson, Hanny Schedin, Douglas Håge, Stig Olin, Simon Brehm, Curt Minimal Åström, Hjördis Petterson, Alice Babs, Gunvor Pontén",Stig Olin,"Stig Olin, Hasse Ekman",Terrafilm,"Lorens Marmstedt, Alf Jörgensen",sv,93,5
3637,"Action, Comedy, Drama, Thriller","Dominic Monaghan, Tamer Hassan, Colin Teague, Jack Dee, Nick Moran, Ken Stott, Paul Kaye, Kate Ashfield, Elizabeth Berrington, Linda Bassett, Rita Ora",Colin Teague,"Colin Teague, Mike Loveday",,,en,95,4.5
3638,"Romance, Drama, Comedy","Axel Arenas, Rodolfo Rodríguez, Ana Lourdes Zamarrón, Gerardo del Razo, Pedro Pablo Rodríguez, Hoze Meléndez, Oscar Serrano, Carlos Hendrick Huber, Sofía Sylwin, Christopher Aguilasocho, Max Thomsen, Yair Gamboa, Danae Reynaud, Mafer Vergara, Carolina Lecuona, Alejandro Luna, Katia Arballo, Isaí Flores Navarrete",Chucho E. Quintero,Chucho E. Quintero,Cine Clemente,"Shandor Barcs, Chucho E. Quintero",es,98,5
3639,"Drama, Comedy","Marcelo Subiotto, Luciano Rosso, Cecilia Czornogas, Ignacio Rogers, Eduardo Iacono, Gabriela Ferrero, Marta Paccamicci, Ana Katz, Pino Siano, Blanca Lewin, Telma Crisanti, Pablo Krantz, Leonardo Sbaraglia, Rafael Spregelburd, Alfonso Ponchi Baron, Dolores Fonzi, Daniel Kargieman",Hernán Guerschuny,Hernán Guerschuny,,,es,90,6.5
3640,,"Spencer McLaren, Shane Jacobson, Alyssa McClelland, Caroline O'Connor, Katerina Kotsonis, Holly Valance, Pia Miranda, Toby Wallace, Patrick Constantinou","Sandra Sciberras, Kate Whitbread",,,,en,90,4
3641,Action,"John Saxon, Corbin Bernsen, Richard Grieco, Martin Kove, Priscilla Barnes, Laura Harring",Art Camacho,"Juan Rodriguez Flores, Manuel Sanchez, Art Camacho, Samuel Oldham",Latin Film Group,,en,92,4.5
3642,"Horror, Fantasy, Thriller","Melissa Araya, Karla Berríos, Gustavo Becerra, Cristián Quezada, Macarena Carrere",Alvaro Pruneda,Alvaro Pruneda,,"Fabián Sáez, Carolina Gaete",es,132,5
3643,Drama,,,,SE8 Group,,en,128,6.9
3644,"Comedy, Drama, Family","Cakka Nuraga, Putri Manjo, Beby Tsabina, Aryudha Fasha, Rendra Bagus Pamungkas, Haru Sandra, Ofix Nurhansyah, Reza Rusandi, Vino G. Bastian, Frederika Cull, Jared Ali, Seteng A. Yuniawan",Jeihan Angga,Alim Sudio,"MD Pictures, Dapur Film Production","Shania Punjabi, Manoj Punjabi",id,86,5.5
3645,Drama,"James Wilby, Shreeram Lagoo, Bilu Star, Yaqoob Zakaria, Vaqar Hur, Amanullah Khan, Melissa Leo, James Cossins, Bhasker Patel, Rashid Karapiet, Farzana Rashid, Hawas Khan, Zahoor Ahmad, Zia Mohyeddin, Rashid Akhtar, Sajida Syed, Khalid Shaikh, Intezar Hussain, Ronny Jhutti, Abu Rahi, Bill Bailey, Mohammad Aslam, Tim Choate, Badi Uzzaman, Zafar Hameed, Nasreen Shaguft, Nasir Anwar Khan, Sultan Khan, Jamshed Ansari, Harjit Singh, Shabana Azmi",Jamil Dehlavi,Jamil Dehlavi,Delhavi Films,Jamil Dehlavi,en,120,5.2
3646,"Romance, TV Movie","Ellen David, Bill Marchant, Daniel Di Tomasso, Charlotte Legault, Ali Stroker, Melia Charlotte Cressaty, Nicole Leroux, Gita Miller, Kim Nelson",Pat Kiely,"Katrina Mathewson, Tanner Bean","MarVista Entertainment, Neshama Entertainment, Vroom Productions","Hannah Pillemer, Larry Grimaldi, Robert Vroom, Fernando Szew, Arnie Zipursky, Julianna Hays, Suzanne L. Berger",en,80,6.5
3647,"Comedy, Drama, Romance, Crime","Zoe Incrocci, Gigi Proietti, Patsy Smart Darcus, Mariella Zanetti, Sam Dorras, Frank Windsor, Carlo Quartucci, Giuseppe Scavuzzo, Vanessa Redgrave, Franco Nero, Gabriella Ceramelli",Tinto Brass,"Tinto Brass, Franco Longo, Roberto Lerici","Medusa Distribuzione, Lion Film, Colt Produzioni Cinematografiche",,en,109,4.7
3648,Documentary,"Jim Carrey, Bobby McFerrin, Robin Williams, George Martin, Goldie Hawn, Céline Dion",,,,,en,60,2
3649,"Comedy, Romance","Tiger Thangadurai, Rajendran, R. Sundarrajan, Anandaraj, Redin Kingsley, Mippu Swamy, Mayilsamy, Swaminathan, Adukalam Naren, Cool Suresh, Mansoor Ali Khan, Munishkanth, Manobala, K. S. Ravikumar, Santhanam, Radhika Preeti, Kumki Ashwin",Kalyaan,Kalyaan,Studio Green,,ta,122,4
3650,"Drama, Music","Nagiko Tsuji, Haruna Hori, Song Yeong-sik, Snow, Ji Dae-han","Lee Hee-seop, Baek Jae-ho",Baek Jae-ho,"MOVement, Indiestory",,ko,108,6.5
3651,Comedy,"Giorgos Gavriilidis, Kostas Mendis, Labros Konstadaras, Thanasis Mylonas, Dimitris Nikolaidis, Zoi Fytousi, Beata Asimakopoulou, Kostas Pitsios, Anna Matzourani, Miranta Myrat",Orestis Laskos,"Dimitris Psathas, Orestis Laskos",Novak-Film,,el,106,5
3652,"Comedy, TV Movie, Family","Heikko Deutschmann, Luke Matt Röntgen, Alessija Lause, Alwara Höfels, Marno Quandt, Adam Bousdoukos, Andreas Eckel, Albrecht Ganskopf, Oliver Törner, Regine Hentschel, Barbara Philipp, Maximilian Ehrenreich, Alexander Schubert, Melanie Adler, Leon Ullrich",Pia Strietmann,"Michael Hofmann, Lea Schmidbauer, Pia Strietmann",ARD,"Karsten Willutzki, Heike Wiehle-Timm",de,89,5.9
3653,Drama,"Simon Guélat, Simon Bourgade, Ariel Borenstein, François Rabette, Arnaud Valois, Théophile Ray, Aloïse Sauvage, Antoine Reinartz, Rahim-Silvioli Mehdi, Marco Horanieh, Saadia Bentaïeb, Samuel Churin, Jean-François Auguste, Emmanuel Ménard, Sabrina Aliane, Coralie Russier, Julien Herbin, Mehdi Touré, Jérôme Clément-Wilz, Félix Maritaud, Naëlle Dariya, Pascal Tantot, Nahuel Pérez Biscayart, Yves Heck, Caroline Piette, Catherine Vinatier, Adèle Haenel",Robin Campillo,"Philippe Mangeot, Robin Campillo","France 3 Cinéma, Memento Films Production, Page 114, Les Films de Pierre, Playtime","Marie-Ange Luciani, Hugues Charbonneau",fr,135,7.7
3654,Drama,"Teuta Ajdini, Arona Zyberi, Refet Abazi, Alketa Sylaj, Ilire Vinca Çelaj, Astrit Kabashi",Kaltrina Krasniqi,Doruntina Basha,"ISSTRA Creative Factory, Dream Factory Macedonia, Papadhimitri Film Production",,sq,82,7
3655,"Drama, TV Movie","Peter McEnery, Timothy Dalton, Stephan Chase, Lesley Dunlop, Jaclyn Smith, Jeremy Brett, Jeremy Child, Brian Cox, Claire Bloom, Michael Elwyn, Julian Fellowes, Aimée Delamain, Timothy West, Richenda Carey",Daryl Duke,"Ivan Moffat, Rose Leiman Goldemberg",Cypress Point Productions,"Anthony B. Richmond, Ron Carr, Gerald W. Abrams",en,140,5
3656,"Science Fiction, Action, Adventure","Michael Beck, Randolph Powell, Oona Menges, John Bach, Mark Hadlow, James Wainwright, Marshall Napier, Bruno Lawrence, John Ratzenberger, Annie McEnroe",Harley Cokeliss,"Michael Abrams, Irving Austin, Harley Cokeliss, John Beech",Battletruck Films Ltd.,"Robert Whitehouse, Lloyd Phillips",en,91,4.63
3657,"Crime, Thriller","Brandi Seaton, Tuckeya Robinson, Michael Everett Johnson, Michael Cruse, Jasmine Alysha, Jeff Profitt, Deshawn Long",Jeff Profitt,Jeff Profitt,"Maverick Movies, 856 Films",,en,75,2.5
3658,Drama,"Kim Dawson, Nathaniel Roberts, Sheila Krooler, Gwen Somers, Al Sapienza, Lenore Andriel, Karen Racanelli, Deborah Shames, Joseph Schuster, Belinda Farrell",Deborah Shames,"Edward Buskirk, Udana Power",,Lynn Larkin,en,90,1
3659,"Romance, Fantasy, Drama, Family","Park Jun-myun, Jeong Yeon-joo, Lee Yong-nyeo, Song Kang",Jude Jung,Jude Jung,"Siren Pictures, Kidari ENT",,ko,72,6.968
3660,"Comedy, Crime","Riley Hill, Huntz Hall, Tim Ryan, Bernard Gorcey, Benny Bartlett, Perc Launders, David Gorcey, Murray Alper, William Bailey, Gil Stratton, Leo Gorcey, Robert Coogan, Lisa Wilson, Myrna Dell, William Newell, James Flavin, Paul Maxey, Arthur Space, Dick Paxton, Hanley Stafford",William Beaudine,"Tim Ryan, Jack Crutcher, Charles R. Marion",Monogram Pictures,Jerry Thomas,en,66,6
3661,Comedy,"Marc Hosemann, Christian Näthe, Bernd-Christian Althoff, Christina Hecke, Stephan Tölle, Friederike Kempter, Dagmar Leesch, Ramona Kunze-Libnow, Mersiha Husagić, Wolfgang Finck, Victoria Fleer, Hans-Heinrich Hardt, Ann-Christin Ahle, Christian Hannig, Christian Concilio, Theresa Berlage",Matthias Steurer,,ARD,,de,90,5
3662,"Thriller, Drama, Mystery","Tippi Hedren, Jaime Zevallos, Monica Keena, Jonathan Pryce, Joshua Benard, Ashlynn Yennie, Dominic Bogart, Timothy Brennen, Maurice Benard","Anthony Gaudioso, James Gaudioso",Anthony Gaudioso,,"Anthony Gaudioso, Matt Russell, James Gaudioso",en,105,5.2
3663,Documentary,"Narendra Modi, Manish Sisodia, Yogendra Yadav, Arvind Kejriwal, Santosh Koli","Khushboo Ranka, Vinay Shukla","Khushboo Ranka, Vinay Shukla",,"Khushboo Ranka, Anand Gandhi, Vinay Shukla",en,100,5.9
3664,"Thriller, TV Movie, Comedy","LeToya Luckett, Ta'Rhonda Jones, Marland Burke, Kierra 'Kiki' Sheard, Morgan Alexandria, Drew Sidora",Tailiah Breon,"Jasmine S. Greene, Scotty Mullen","Big Dreams Entertainment, Lifetime, Swirl Films","Leslie Greif, D'Angela Proctor",en,85,6.3
3665,"Adventure, Fantasy","Jany Clair, Delia D'Alberti, Anna Maria Polani, Goffredo Unger, Paola Pitti, Nando Tamberlani, Anna Maria Dionisio, Sergio Ciani",Giacomo Gentilomo,"Giovanni Scolaro, Giacomo Gentilomo, Arpad De Riso, Angelo Sangermano","Nike Cinematografica, Comptoir Français de Productions Cinématographiques (CFPC)",Luigi Mondello,it,90,3.037
3666,Music,"Steve Gadd, Giovanni Hidalgo","Rob Wallis, Paul Siegel",,,Paul Siegel,en,109,6
3667,Drama,"María Marcucci, Carlos Yustis, América Gabriel, Amaranta Ruiz, Gabriela Del Valle, Antonio Escobar, Dacia González, Lizbeth Olivier, Lupita M. Infante, Alonso Echánove, Paco Pharrez, Gerardo Zepeda",Ismael Rodríguez Jr.,"Jorge Manrique, Ismael Rodríguez Jr.","Películas Rodríguez, Producciones Gonzalo Elvira S.A.","Ismael Rodríguez, Gonzalo Elvira, Tizoc Rodríguez",es,82,5
3668,Comedy,"Jean Carmet, Nicole Calfan, Pierre Étaix",Pierre Étaix,Pierre Étaix,"Vampa Productions, La Fémis, CNC, FR3, La Sept Cinéma",Jean-Daniel Verhaeghe,fr,90,5.7
3669,"Adventure, Drama, Family","Milan Peschel, Anneke Kim Sarnau, Nino Porzio, Philippe Jacq, Christian Hom, Johann von Bülow, Ben Ruedinger, Michael Lott, Emilio Sakraya, Hans Martin Stier, Sybille J. Schedwill, Ludger Burmann, Andreas Helfenbein, Vedat Erincin, Patrick Simons, Annette Frier, Natalia Romanova, Michael Kunst, Werner Hansch, Jürgen Rißmann, Amrei Haardt, Rolf Berg, Thomas Balou Martin, Lena Klenke, Dieter Hallervorden",Hanno Olderdissen,"Hanno Olderdissen, Clemente Fernandez-Gil","Neue Schönhauser Filmproduktion, ARD Degeto, Senator Film, ARRI Media",Boris Schönfelder,de,105,7.226
3670,Music,"Lennox, Shako, Small, Justin Quiles, Fainal, BIA, Jowell, Yandel, Farruko, Feid, Randy, J Balvin, Jutha, Reykon, Nicky Jam, Zion",,,,,es,97,6.2
3671,"Romance, Crime, Drama","Kate del Castillo, Alejandra Lanza, Tatiana Zeballos, Roberto Barbery, Demián Bichir",Juan Carlos Valdivia,"Juan Recacoechea, Juan Carlos Valdivia","Producciones X Marca, Oscar Quintela, Instituto Mexicano de Cinematografía","Alejandro González Padilla, Juan Carlos Valdivia, Felipe Galdo, Oscar Quintela, Ximena Valdivia Flores",es,100,6.78
3672,"Documentary, Music","Sufjan Stevens, Steve Albini, Daniel Johnston, Brandon Ebel",J.L. Aronson,,,,en,110,9
3673,Action,"Makoto Mutsuura, Tatsuya Fuji, Hideo Murota, Kei Satō, Ryūzō Hayashi, Yoshio Harada, Mitsuko Baisho",Yoichi Sai,Shoichi Maruyama,KADOKAWA,,ja,103,8
3674,"Documentary, History, TV Movie","Ali Guentas, Luz Acre, Arnauld Le Ridant, Éric Caravaca, Alberto Cardemil, Giorgio Jackson, Milton Juica, Clémentine Domptail, Pedro Felipe Ramirez, Fernando Guzmán, Michelle Bachelet, Gaspar Dominguez, Oscar Guillermo Garretón, Anouk Adrien, Enrique Correa, Giovanna Grandón, Natividad Llanquileo, Damien Cochereau, Cédric Zimmerlin, Claudina Nuñez, Mario Desbordes, Carlos Ominami",Paul Le Grouyer,"Paul Le Grouyer, Lucie Pastor","ZED, ARTE, CNC","Manuel Catteau, Marion Papillon",fr,91,9
3675,Drama,"Myrna Maakaron, Michèle Tyan",Jocelyne Saab,"Jocelyne Saab, Philippe Paringaux",Aleph Production,,ar,104,6
3676,"Comedy, Horror","Yahya Gaier, Gigi Ravelli, Ben Saunders, Wart Kamps, Loek Peters, Carlo Boszhard, Wouter Braaf, Edo Brunner, Michiel Romeyn, Kenan Raven, Sergio Hasselbaink, Nadia Poeschmann, Iliass Ojja, Jan Doense, Remy Bonjasky, Yes-R, Uriah Arnhem, Frans van Deursen, Noel Deelen, Rik Sinkeldam, Mimoun Ouled Radi","Martijn Smits, Erwin van den Eshof",Tijs van Marle,,"Frank Groenveld, Wilco Wolfers, Coen Michielsen, René Huybrechtse, Paul Ruven",nl,90,4.6
3677,,Aniello De Angelis,Aniello De Angelis,,,,en,95,2
3678,"Comedy, Drama","Moro León, Alejandro Suárez, Juan Martín Bentolila, María Cristina Ledesma",Ernesto Aguilar,Ernesto Aguilar,Margen Cine,,es,65,8
3679,"Drama, Romance","Mia Taylor, Tyler Gettins, Craig Pearson, Robbie Fallon, Ian Laing, Anthony Ford, Rod Glenn, Addison Keen, Amanda Dryden Walker, Hayley Corney, Shepsi Haider, Sarah Bulmer",Gabriel Brown,Gabriel Brown,,"Gabriel Brown, Addison Keen",en,82,10
3680,Horror,"Richard Riehle, Vladimir Yossifov, Matthew McNulty, Darcy Fowers, Michael McCoy, Heather Stephens, Laurence Belcher, Erbi Ago, Kalina Green, Claire Holt, Norman Reedus, Todd Jensen",Martin Barnewitz,Todd Farmer,Ghost House Pictures,Andrew Pfeffer,en,94,5.484
3681,Drama,"Tornike Gogrichiani, Zura Kipshidze, Tornike Bziava, Marina Janashia, Maka Makharadze, Avtandil Makharadze, Giorgi Nakashidze",Zaza Rusadze,Zaza Rusadze,Zazarfilm,Zaza Rusadze,ka,73,4.9
3682,"Comedy, Horror, Action, Crime","Stephen Ruffin, Brian Stepanek, Courtney Dietz, Lucius Baston, Vanessa Marano, Fray Forde, Brooks Forester, Daniel Salyers, Arden Myrin, Adam Faison, Nadine Ellis, Mickie Pollock, Sarah Jeffery, Sarah Gilman, Evan Castelloe",Suzi Yoonessi,"Caitlin Meares, Joe Ruby, Ken Spears, William Hanna, Kyle Mack, Joseph Barbera","Blue Ribbon Content, Blondie Girl Productions, Lifeboat Productions","Amy S. Kim, Jaime Burke, Jennifer Tisdale, Suzi Yoonessi, Ashley Tisdale",en,75,6.165
3683,Action,"Spencer Fisher, Tiequan Zhang, Maciej Jewtuszko, Jon Fitch, Dennis Siver, Riki Fukuda, Chris Lytle, Ross Pearson, B.J. Penn, Kyle Noke, James Te Huna, Nick Ring, George Sotiropoulos, Tom Blackledge, Curt Warburton, Mark Hunt, Jason Reinhardt, Jorge Rivera, Alexander Gustafsson, Brian Ebersole, Chris Tuchscherer, Chris Camozzi, Michael Bisping, Anthony Perosh",,,,,en,178,6.5
3684,Drama,"Liu Peiqi, Song Chunli, Dong Ziwu","Xianhe Lei, Kang Ning",Wang Xing-Dong,"Youth Film Studio of Beijing Film Academy, Beijing Forbidden City Film, China Film Group Corporation",,zh,100,5
3685,"Animation, Fantasy, Family","Amanda Waving, Lincoln Hoppe, Ronan Vibert, Steven Webb, Dan Finnerty, Nigel Lambert",Mark Swan,"David Pomeranz, Forrest S. Baker III, Mark Swan, Ken Cromar, Ray Goldrup",Pannónia Filmstúdió,,en,88,7.4
3686,Comedy,"Tariq Almuhairi, Ibrahim Almeirasi, Alia Almannai, Mohamed Alkendi, Ahmed Saif",Ahmed Zain,,,,en,95,7.5
3687,"Documentary, Music","Garth Knox, Irvine Arditti, Rohan de Saram, Karlheinz Stockhausen, Graeme Jennings",Frank Scheffer,"Karlheinz Stockhausen, Frank Scheffer",Allegri Film,"Ton Van Der Lee, Frank Scheffer",de,81,5.7
3688,Drama,"Alla Kliouka, Vera Panasenkova, Denis Matrosov, Oksana Arbuzova, Aleksandra Fomichyova, Leonid Kuravlyov, Valentina Telichkina, Tatyana Agafonova, Kirill Belevich, Armen Dzhigarkhanyan, Eduard Martsevich, Vyacheslav Ilyin","Vladimir Shamshurin, Svyatoslav Tarakhovsky",Svyatoslav Tarakhovsky,"Gosfilmfond Russia, Fora Film",,ru,82,5.6
3689,Comedy,"Lelde Dreimane, Selçuk Aydemir, Ender Balkir, Kebire Tokur, Bayram Önal, Berat Efe Parlar, Juris Strenga, Adem Atbas, Reyhan İlhan, Şinasi Yurtsever, Rihards Lepers, Ahmet Ugurluer, Açalya Samyeli Danoğlu, Ertugrul Gültekin, İnan Ulaş Torun, Sırrı Süreyya Önder, Ezgi Duman, Ahmet Akyavuz, Ali Kabalak, Tom J. Benedict, Kadir Yazici, Feramuz Tanriverdi, Ayhan Yildiz, Toygun Ateş, Rasim Öztekin, Erol Yavan, Erol Aksoy, Murat Karakoç, Devrim Yakut, Binnur Kaya, Barış Yıldız, Muhammet Süt, Osman Cemcir, Kemal İnci, Ahmet Kural, Zerrin Sümer, Murat Cemcir, Arda Aktolga, Emel Sayın, Yeliz Kuvancı, Cafer S. Hadimioglu, Cemil Şahin, Burak Satibol, Özgür Marius Toma, Jelena Božić, Korhan Herduran, Nazlı Tosunoğlu, Muhammet Burak Erdogan, Tuğçe Kurşunoğlu, Sait Gür, Zeynel Ozan Çabuk, Semih Olgunöz, Basri Albayrak, Adem Kaya, Zehra Tosun, Vedat Uyar, Olgun Toker",Selçuk Aydemir,Selçuk Aydemir,,"Necati Akpınar, Fatmanur Sevinç",tr,106,6.325
3690,"Drama, History","Celine Bessy, Gino Cervi, Pino Carboni, Giantullio Martin, Pierluigi Piro, Francis Blanche, Laurent Gerber, Claudio Pellegrini, Monita Derrieux, Victor Poletti, Tanya Lopert, Peter Ellis, Piera Rossi, Piero Bocchi, Umberto Racepre, Anna Recchimuzzi, Bruno Boschetti, Karim Mayer, Siro Pannini, Carla Mancini, Ezio Sancrotti, Achille Nicola D'Errico, Luciana Turina, Sergio Masieri, Violetta Fabbri",Pino Tosini,Pino Tosini,Boxer International Film,,it,93,2
3691,"Documentary, History","Gilbert Baker, Ken Coolen",Bob Christie,"Aerlyn Weissman, Bob Christie",,"Morris Chapdelaine, Charlie David",en,87,4.4
3692,"Comedy, Drama, Romance","Deeksha Joshi, Malhar Thakar, Parashant Barot, Hemant  Jha",Neeraj Joshi,"Madhugandha Kulkarni, Paresh Mokashi",,,gu,137,7
3693,"Music, Documentary","Anna Ross, Beth Ditto, Roger Taylor, John Taylor, Gerard Way, Simon Le Bon, Nick Rhodes, Mark Ronson, Kelis, Simon Willescroft, Dom Brown",David Lynch,,American Express Unstaged,Michael Goldfine,en,112,7.4
3694,"Crime, Drama","Vincent Gil, Dave Mason, Mick King, Freddo Dierck, Kevin Mackey, Chris DeRose, Nick Cave, Bogdan Koca, Mike Bishop, David Field, Tony Clark, Ian Mortimer",John Hillcoat,"Evan English, John Hillcoat, Hugo Race, Gene Conkie, Nick Cave","Outlaw Values, Correctional Services",Evan English,en,93,5.984
3695,Action,"Sho Kosugi, Matthew Faison, Nik Hagler, Parley Baer, Woody Watson, James Booth, Michael Constantine, Robert Ito, Donna Kei Benz, Norman Burton, Shane Kosugi, Kane Kosugi, J.J. Perry, Alan Amiel",Gordon Hessler,James Booth,"Pray Films, Trans World Entertainment (TWE)","Sunil R. Shah, Moshe Diamant, Steve Rucker, Don Van Atta, Moshe Barkat",en,92,5.989
3696,"Western, Adventure, Romance","Lottie Pickford, Douglas Fairbanks, Donald Crisp, Robert McKim, Warner Oland, Juliette Belanger, Martha Franklin, Enrique Acosta, Tote Du Crow, Roy Coulson, Jack McDonald, Stella De Lanti, Jean Hersholt, Charles Stevens, Mary Astor, Albert MacQuarrie",Donald Crisp,"Hesketh Prichard, Kate Prichard, Lotta Woods, Jack Cunningham",Elton Productions,Douglas Fairbanks,en,111,6.639
3697,Drama,"Zbigniew Ziembinski, Leila Diniz, Cleyde Yáconis, Leonardo Villar, Sérgio Cardoso, Anselmo Duarte, Jofre Soares",Carlos Coimbra,"Antonio Callado, Sanin Cherques, Carlos Coimbra","Metro-Goldwyn-Mayer, Cinedistri, Instituto Nacional de Cinema (INC)",Oswaldo Massaini,pt,110,6
3698,Drama,"Hartmut Rüting, Dirk Heidemann, Christiane Lemm, Monika Kölling, Tana Schanzara, Christoph Eichhorn, Klaus Adler, Martina Bako, Dirk Bach, Gerhard Hartig, Magdalena Montezuma, Kirsten Dene, Stephen Linetsky, Resi Schappert, Nicola Kotoulas, Katja Rupé, Hella von Sinnen, Sabine Gruner, B. Ben Amara, Brigitte Janner, Karl-Heinz von Hassel, Annerose Donath, Bernd Holzmüller, Beate Hasenau, Helmut Färberg, Samy Orfgen, Hanna Seiffert, Rainer Philippi, Mark Prokat, Herbert Warnke, Detlef Pleschke, Hans Eppendorfer, Wolf-Dietrich Sprenger, Ludwig Brundiers, Rolf Bührmann, Viktor Dietmar Wilhelm, Christa Maria Gruner, Friedrich Schoenfelder, Michael Ritter","Rolf Bührmann, Walter Bockmayer","Hans Eppendorfer, Rolf Bührmann, Walter Bockmayer, Peter Greiner","Entenproduktion, Neue Filmproduktion","Rolf Bührmann, Felix Hock",de,106,3
3699,Comedy,"Pierre Mondy, Paul Crauchet, Pierre Bertin, Michel Blanc, Pascale Roberts, Jean Carmet, Rabah Loucif, Catherine Mongodin, Rita Maiden, Catherine Fornier, Catherine Privat, Jocelyn Canoen, Michel Galabru",Jean-Luc Voulfow,"Marco Pico, Jean-Luc Voulfow, René Fallet","Les Films de l'Alma, Camera 1","Serge Laski, Michel Seydoux, Robert Nador",fr,92,3.25
3700,"History, Drama, Romance","David Gabison, Gary Granville, Martin Potter, Rose Mary Dunham, Patrick Floersheim, Catriona MacColl, Consuelo De Haviland, Jacques Maury, Mike Marshall, Steve Gadler, Lambert Wilson, John Charles Sabain, Jeffrey Kime, Nicholas Amer, Sue Lloyd, Angela Thorne, Robin Whitecross, Patrick Allen, Claire Maubert, Michael Petrovitch, Timothy Morand, Andrew Bagley, Constance Chapman, Caroline Loeb, Jonas Bergström, Paul Spurrier, Michael Osborne, François Brincourt, Dane Porret, Mario Pecqueur, Mark Kingston, Georges Wilson, Christine Böhm, Terence Budd, Shelagh McLeod, Denis Trindler, Sandy Whitelaw, Armelle Bonnot, Dominique Varda, Patsy Kensit, Christopher Ellison, Jean Boissery, John Tordoff, Monique Vermeer, Vincent Grass, James Schuman, Gregory Floy, Anouska Hempel, Michèle Cahier, Barry Stokes, Sylvia Zerbib",Jacques Demy,"Jacques Demy, Riyoko Ikeda, Patricia Louisianna Knop","TOHO, Nippon Television Network Corporation, Shiseido Co. Ltd., Kitty Films","Mataichirô Yamamoto, Agnès Varda",en,124,5.259
3701,Documentary,,Florent Tillon,,,,en,80,6.6
3702,"Documentary, Drama","Andrius Mamontovas, Darius Udrys","Jonas Ohman, Vincas Sruoginis","Jonas Ohman, Mark Johnston, Vincas Sruoginis",Forest Brothers,Mark Johnston,en,87,5.5
3703,Comedy,"Susan Saint James, Mary Tyler Moore, Don Stroud, Frank Campanella, John McMartin, Cleavon Little, Nathaniel Frey, Charles Lane, Joe Ponazecki, Thelma Ritter, Franklin Cover, Jeanne Arnold, Morty Gunty, Salem Ludwig, Paul Dooley, Nat Polen, James Noble, George Furth, George Peppard, Dom DeLuise",George Seaton,"Robert Pirosh, George Seaton, Vincent McHugh",Universal Pictures,George Seaton,en,94,6.667
3704,Music,"Ralph Johnson, Freddie Ravel, Philip Bailey, Maurice Pleasure, Dee Dee Weathers, Sonny Emory, Michael McKnight, Daryl Richardson, Maurice White, Gary Bias, Ray Brown, Reggie Young, Sheldon Reynolds, Verdine White",Allen Plone,,Kalimba International,"Kuni Misawa, Maurice White",en,60,4.2
